feature,omics_group,prefix
rs_KCNJ16,mRNA,rs_
rs_GPX2,mRNA,rs_
rs_SLC15A1,mRNA,rs_
rs_DEGS2,mRNA,rs_
rs_MUC2,mRNA,rs_
rs_CALB2,mRNA,rs_
rs_CHRM1,mRNA,rs_
rs_CCL14,mRNA,rs_
rs_PCDH10,mRNA,rs_
rs_CTNND2,mRNA,rs_
rs_CECR2,mRNA,rs_
rs_SPINK8,mRNA,rs_
rs_LY6K,mRNA,rs_
rs_PEG3,mRNA,rs_
rs_CST2,mRNA,rs_
rs_FERMT1,mRNA,rs_
rs_MMRN1,mRNA,rs_
rs_SERHL2,mRNA,rs_
rs_SEZ6L,mRNA,rs_
rs_TNNI3,mRNA,rs_
rs_EREG,mRNA,rs_
rs_ADAMTS15,mRNA,rs_
rs_PAX2,mRNA,rs_
rs_TNNT3,mRNA,rs_
rs_B3GNT3,mRNA,rs_
rs_LOC440905,mRNA,rs_
rs_CD19,mRNA,rs_
rs_ADH1A,mRNA,rs_
rs_RIMS2,mRNA,rs_
rs_ALOX15,mRNA,rs_
rs_ADAMTS19,mRNA,rs_
rs_NTRK3,mRNA,rs_
rs_RNF183,mRNA,rs_
rs_FLT3,mRNA,rs_
rs_TNMD,mRNA,rs_
rs_GPR12,mRNA,rs_
rs_IBSP,mRNA,rs_
rs_COL4A6,mRNA,rs_
rs_CLSTN2,mRNA,rs_
rs_FIBCD1,mRNA,rs_
rs_CES1,mRNA,rs_
rs_CADM3,mRNA,rs_
rs_AKR1B15,mRNA,rs_
rs_PCDHA10,mRNA,rs_
rs_HIF3A,mRNA,rs_
rs_GPM6A,mRNA,rs_
rs_CXCR2P1,mRNA,rs_
rs_DACH1,mRNA,rs_
rs_C1orf95,mRNA,rs_
rs_HEPACAM,mRNA,rs_
rs_TMEM45B,mRNA,rs_
rs_VIT,mRNA,rs_
rs_CXCL2,mRNA,rs_
rs_FMO2,mRNA,rs_
rs_HBB,mRNA,rs_
rs_CDSN,mRNA,rs_
rs_KCNIP2,mRNA,rs_
rs_CCL28,mRNA,rs_
rs_C8orf85,mRNA,rs_
rs_CRYAB,mRNA,rs_
rs_LOC84740,mRNA,rs_
rs_PPAPDC1A,mRNA,rs_
rs_IL33,mRNA,rs_
rs_AQP7P1,mRNA,rs_
rs_MAGEA4,mRNA,rs_
rs_ACE2,mRNA,rs_
rs_MYH11,mRNA,rs_
rs_LOC100124692,mRNA,rs_
rs_HS3ST4,mRNA,rs_
rs_SELP,mRNA,rs_
rs_PADI3,mRNA,rs_
rs_ACVR1C,mRNA,rs_
rs_AMY1A,mRNA,rs_
rs_OXTR,mRNA,rs_
rs_DEFB132,mRNA,rs_
rs_APOB,mRNA,rs_
rs_SPHKAP,mRNA,rs_
rs_DPYSL5,mRNA,rs_
rs_HEPN1,mRNA,rs_
cn_ISG15,CNV,cn_
cn_BAI2,CNV,cn_
cn_TEKT2,CNV,cn_
cn_DNALI1,CNV,cn_
cn_RSPO1,CNV,cn_
cn_KIAA0754,CNV,cn_
cn_KCNQ4,CNV,cn_
cn_EDN2,CNV,cn_
cn_CLDN19,CNV,cn_
cn_CDC20,CNV,cn_
cn_ARTN,CNV,cn_
cn_HPDL,CNV,cn_
cn_TSPAN1,CNV,cn_
cn_CYP4B1,CNV,cn_
cn_CYP4Z2P,CNV,cn_
cn_CYP4X1,CNV,cn_
cn_CYP4Z1,CNV,cn_
cn_PDZK1IP1,CNV,cn_
cn_RAB3B,CNV,cn_
cn_DIO1,CNV,cn_
cn_TTC22,CNV,cn_
cn_PCSK9,CNV,cn_
cn_PRKAA2,CNV,cn_
cn_C1orf168,CNV,cn_
cn_KANK4,CNV,cn_
cn_FOXD3,CNV,cn_
cn_IL12RB2,CNV,cn_
cn_DIRAS3,CNV,cn_
cn_C1orf173,CNV,cn_
cn_SLC44A5,CNV,cn_
cn_ST6GALNAC5,CNV,cn_
cn_AK5,CNV,cn_
cn_PTGFR,CNV,cn_
cn_DNASE2B,CNV,cn_
cn_LPAR3,CNV,cn_
cn_CLCA2,CNV,cn_
cn_CLCA4,CNV,cn_
cn_GBP5,CNV,cn_
cn_TGFBR3,CNV,cn_
cn_BRDT,CNV,cn_
cn_EPHX4,CNV,cn_
cn_ABCA4,CNV,cn_
cn_COL11A1,CNV,cn_
cn_AMY1A,CNV,cn_
cn_NTNG1,CNV,cn_
cn_NBPF4,CNV,cn_
cn_NBPF6,CNV,cn_
cn_GSTM1,CNV,cn_
cn_GSTM5,CNV,cn_
cn_GSTM3,CNV,cn_
cn_SLC6A17,CNV,cn_
cn_CHI3L2,CNV,cn_
cn_KCND3,CNV,cn_
cn_FAM19A3,CNV,cn_
cn_AMPD1,CNV,cn_
cn_CASQ2,CNV,cn_
cn_VTCN1,CNV,cn_
cn_SPAG17,CNV,cn_
cn_HSD3B2,CNV,cn_
cn_HMGCS2,CNV,cn_
cn_FMO5,CNV,cn_
cn_ZNF695,CNV,cn_
cn_TRIM58,CNV,cn_
cn_CHL1,CNV,cn_
cn_CNTN4,CNV,cn_
cn_LRRN1,CNV,cn_
cn_EGOT,CNV,cn_
cn_ROBO2,CNV,cn_
cn_CADM2,CNV,cn_
cn_NPFFR2,CNV,cn_
cn_ALB,CNV,cn_
cn_AFP,CNV,cn_
cn_RASSF6,CNV,cn_
cn_IL8,CNV,cn_
cn_CXCL1,CNV,cn_
cn_CXCL5,CNV,cn_
cn_EREG,CNV,cn_
cn_AREG,CNV,cn_
cn_CDKL2,CNV,cn_
cn_CXCL9,CNV,cn_
cn_CCDC158,CNV,cn_
cn_CXCL13,CNV,cn_
cn_LRRC14B,CNV,cn_
cn_IRX4,CNV,cn_
cn_C5orf38,CNV,cn_
cn_IRX1,CNV,cn_
cn_ADAMTS16,CNV,cn_
cn_ADCY2,CNV,cn_
cn_ROPN1L,CNV,cn_
cn_CTNND2,CNV,cn_
cn_DNAH5,CNV,cn_
cn_MARCH11,CNV,cn_
cn_NPR3,CNV,cn_
cn_IL7R,CNV,cn_
cn_CAPSL,CNV,cn_
cn_UGT3A2,CNV,cn_
cn_RANBP3L,CNV,cn_
cn_FGF10,CNV,cn_
cn_GZMK,CNV,cn_
cn_CDC20B,CNV,cn_
cn_IL6ST,CNV,cn_
cn_PART1,CNV,cn_
cn_GTF2H2B,CNV,cn_
cn_CARTPT,CNV,cn_
cn_FOXD1,CNV,cn_
cn_F2RL2,CNV,cn_
cn_PDE8B,CNV,cn_
cn_THBS4,CNV,cn_
cn_CKMT2,CNV,cn_
cn_HAPLN1,CNV,cn_
cn_EDIL3,CNV,cn_
cn_GPR98,CNV,cn_
cn_FAM81B,CNV,cn_
cn_C5orf27,CNV,cn_
cn_PCSK1,CNV,cn_
cn_ERAP2,CNV,cn_
cn_EFNA5,CNV,cn_
cn_TSLP,CNV,cn_
cn_TRIM36,CNV,cn_
cn_CDO1,CNV,cn_
cn_AQPEP,CNV,cn_
cn_MEGF10,CNV,cn_
cn_FBN2,CNV,cn_
cn_SLC27A6,CNV,cn_
cn_ADAMTS19,CNV,cn_
cn_SHROOM1,CNV,cn_
cn_FSTL4,CNV,cn_
cn_PITX1,CNV,cn_
cn_C5orf20,CNV,cn_
cn_CXCL14,CNV,cn_
cn_PCDHA1,CNV,cn_
cn_PCDHA12,CNV,cn_
cn_IL17B,CNV,cn_
cn_GPX3,CNV,cn_
cn_FAT2,CNV,cn_
cn_GRIA1,CNV,cn_
cn_ITK,CNV,cn_
cn_FABP6,CNV,cn_
cn_ATP10B,CNV,cn_
cn_FBLL1,CNV,cn_
cn_FAM196B,CNV,cn_
cn_FOXI1,CNV,cn_
cn_GABRP,CNV,cn_
cn_STC2,CNV,cn_
cn_MSX2,CNV,cn_
cn_CPLX2,CNV,cn_
cn_UNC5A,CNV,cn_
cn_FGFR4,CNV,cn_
cn_RASGEF1C,CNV,cn_
cn_SCGB3A1,CNV,cn_
cn_BTNL9,CNV,cn_
cn_IRF4,CNV,cn_
cn_FOXC1,CNV,cn_
cn_TUBB2B,CNV,cn_
cn_ELOVL2,CNV,cn_
cn_RNF182,CNV,cn_
cn_RBM24,CNV,cn_
cn_ID4,CNV,cn_
cn_DCDC2,CNV,cn_
cn_KIAA0319,CNV,cn_
cn_LRFN2,CNV,cn_
cn_PGC,CNV,cn_
cn_GNMT,CNV,cn_
cn_DLK2,CNV,cn_
cn_C6orf223,CNV,cn_
cn_GSTA1,CNV,cn_
cn_HMGCLL1,CNV,cn_
cn_BMP5,CNV,cn_
cn_COL9A1,CNV,cn_
cn_RIMS1,CNV,cn_
cn_KCNQ5,CNV,cn_
cn_DDX43,CNV,cn_
cn_MRAP2,CNV,cn_
cn_CGA,CNV,cn_
cn_CNR1,CNV,cn_
cn_EPHA7,CNV,cn_
cn_FUT9,CNV,cn_
cn_SIM1,CNV,cn_
cn_POPDC3,CNV,cn_
cn_WISP3,CNV,cn_
cn_COL10A1,CNV,cn_
cn_RFX6,CNV,cn_
cn_PKIB,CNV,cn_
cn_FABP7,CNV,cn_
cn_TRDN,CNV,cn_
cn_KIAA0408,CNV,cn_
cn_ENPP3,CNV,cn_
cn_EYA4,CNV,cn_
cn_MYB,CNV,cn_
